       eth0       
 KB/s in  KB/s out
 1633.04   1342.01
 4627.18   3248.91
 7643.42   2374.43
 2599.94     61.80
 1839.11     46.76
11254.82   5270.49
17687.50  22300.78
  983.12   2469.84
  440.64    455.64
 4445.72    220.54
17651.85    473.24
  333.67     22.02
 8823.05   9518.70
15244.52  10694.27
15980.52  15978.59
 9550.15   9557.44
  154.02    157.77
 2030.63    710.97
   68.45   3020.35
17792.57   6136.27
18604.39   8473.92
14620.55    621.67
       eth0       
 KB/s in  KB/s out
 6418.90   6245.63
  713.46    720.73
 5665.49   4748.44
 8632.89   2040.10
13383.53   4602.68
 1877.07   8511.55
20035.01  10326.72
 3888.35   4538.49
 3551.55    316.04
 9874.37   5080.58
 6849.44    368.64
20816.41   8101.80
12756.53   4657.18
12272.30   5534.76
 9472.78   5667.48
 5408.81    775.47
 1007.77    862.36
10402.04    306.71
 7931.46   5336.09
14406.87  13220.95
18624.67  12524.57
 7459.53   5087.01
       eth0       
 KB/s in  KB/s out
  623.73   1650.26
 4468.65   4387.05
 1769.25    132.15
 6550.61   4102.96
16151.88   8280.31
12399.65   4840.50
18130.58  15819.24
 5750.04   4908.77
 7330.01  10364.47
 1297.05    939.11
17371.38   3790.33
22403.27  15852.61
 5670.52   7902.89
 8523.74   9761.86
 2762.83   6593.53
 9117.33  10443.84
    3.91      9.86
 8376.20   4977.47
15783.79  16381.12
20662.18  20885.59
11656.87  11627.27
 4978.71   5965.94
       eth0       
 KB/s in  KB/s out
 6130.47  11434.06
  677.36     29.41
 4415.42    133.14
11501.17  12597.67
 6364.56   4572.86
15393.90   7055.48
 4753.46   5810.59
 8360.26   6605.47
 2503.24   1981.34
 1517.75    922.62
 2427.83   6498.86
  103.45      9.31
19375.70  18625.93
17560.24   8504.37
13341.91  10968.49
 5606.00   1227.09
    1.36      1.35
 9345.01   5690.79
12368.87   6425.53
17596.48  15565.47
 7243.89    383.87
    3.24      4.58
       eth0       
 KB/s in  KB/s out
 7626.00   4738.52
   85.18    268.21
 1017.40    148.89
10092.13   3158.09
13004.55  15840.44
 9152.34   7121.08
 6345.29   4487.00
11820.74   8360.71
  378.56    380.78
 2008.25   4691.82
 6756.04   7328.95
13648.88  13397.12
10774.20   4362.17
 9708.16   8208.30
 6112.66    496.10
 6817.77   2404.80
 3516.03    445.85
10328.41   7437.60
 5160.93  13144.01
10435.70   5747.66
17438.58  12499.52
 6595.80   7027.14
       eth0       
 KB/s in  KB/s out
 5074.13   4625.46
  882.49    687.32
 6425.43   2016.88
 4930.54   9091.96
10438.26  14243.77
18705.82   6999.50
 4222.00   6720.13
  225.30    543.30
 5564.52   4504.87
 7011.49   4446.62
13308.57   9379.43
18067.37  17919.83
14992.17   7887.07
 5960.43   7442.86
 8314.87   7642.22
 1396.46   5340.48
 1293.72    565.11
10797.98   8107.19
10356.64   7642.80
12968.33  12566.63
 7376.24   8035.79
 9823.07   8898.09
       eth0       
 KB/s in  KB/s out
 1439.74   1423.36
  510.25    493.57
12570.24  10992.85
 3780.53   4536.62
22380.89  13748.73
 7497.64  13518.23
 4823.17    351.75
 4414.09   1927.12
   33.48    799.56
 2601.31    968.77
 9305.00   9211.99
 1031.34    641.90
 7178.03   4534.45
14076.20   8204.56
15085.38   9941.89
  333.03    323.49
 9303.81   8153.44
13732.16   9632.25
11946.16   7939.14
 9687.48   7423.12
 8041.65   3264.59
 3535.85    337.24
       eth0       
 KB/s in  KB/s out
 3575.61   3483.80
 5901.11    425.21
 6571.17  11123.80
22627.44  13814.08
14562.80  14333.87
12618.49   5662.19
 8036.02   6839.96
  923.77    726.30
 6917.97   4945.60
15542.55   5127.55
11195.50  11268.73
 6828.99  10821.83
  718.76   6036.56
11457.02   6045.71
  377.33   4559.57
   16.78     10.69
10032.31   2493.26
18062.32   5563.53
12602.85   7946.52
11805.72   7002.79
 4500.15    127.39
 1890.11     69.19
       eth0       
 KB/s in  KB/s out
  382.09     13.92
  922.76     25.39
 3325.63    151.95
 5859.87   5276.30
10922.78   7226.50
11836.47   4759.60
16158.10  13893.08
   89.26     92.54
 6206.95    404.20
 7457.50   4464.68
20884.22   1668.60
10959.88   7596.64
10543.26   3546.92
 5010.90   5774.30
   62.92     75.93
 1546.02   1532.30
 7627.97   3112.58
17372.99   5732.17
 9422.11  11474.83
12536.27  12639.65
 4411.47   4674.34
   12.70     16.11
       eth0       
 KB/s in  KB/s out
   18.03     14.37
12056.81   4819.15
11857.96   8188.69
11272.48   7453.27
16323.53  13638.51
 7981.69   5082.66
 8842.69   4967.44
  394.85    598.59
10103.78  10892.67
 3409.47   5547.24
15702.26   5670.95
 8817.73   5258.46
13603.24   7452.47
  877.01   5286.38
 2271.58     73.41
 9105.96   9111.37
 6136.63   2877.79
15242.99  11309.58
14623.64   9788.34
10959.43   4538.89
 9394.95   9347.97
  466.88     15.98
       eth0       
 KB/s in  KB/s out
 2015.05    268.06
 7792.57   6675.89
15528.88  12087.66
13178.91   7824.32
18437.94   7027.29
 1858.78   2106.20
 4491.36    135.22
  691.50     85.72
 8951.50   1763.94
16905.03  10591.24
10944.89   5647.32
17228.44   4203.62
10240.35   3700.87
    3.83      4.15
  414.19   4379.30
10939.91   4770.69
 6444.72   1139.96
 4054.80   8466.88
23349.10  18706.22
10657.81   8848.13
 7180.98   6562.29
  636.33    433.22
       eth0       
 KB/s in  KB/s out
 4947.87   7342.46
15515.13   4931.93
13031.67   4722.57
13368.67   7412.86
16780.88   9452.37
 1839.63   1864.07
   44.35     24.55
 5809.45   4162.86
13277.90   5058.14
11678.15   6503.33
12773.29   7102.00
20813.48  13257.73
 3004.67   5603.50
 5674.65   4484.50
 6100.45   4452.69
 3009.02   1925.39
11206.95   7035.64
12752.76   6273.38
 7333.70   1778.59
11442.95  10612.14
  357.22    378.10
   97.46      5.45
       eth0       
 KB/s in  KB/s out
12871.83   5964.68
12590.03   6044.03
 8915.76   6474.89
15459.55  12685.66
11596.86   4891.46
 1031.04    661.14
   17.45     23.56
 8153.77   4496.21
17613.19  15591.81
17200.75  13330.04
10358.61  10480.34
 7458.53   2932.91
 4008.58   1733.78
 1870.38    146.29
 9600.88   4712.52
13926.77   9413.88
15433.79  10211.07
14359.47  15889.68
 8163.35   7591.99
 7011.10   2150.96
 4702.40   4406.55
 2385.18    818.10
       eth0       
 KB/s in  KB/s out
 8408.75  12010.54
12714.75   9718.15
14149.97   8698.71
13934.60   9710.47
 3726.14   4444.58
 1728.30   1721.63
    1.32      1.03
 6614.33  10225.14
